,id_mutation,date_mutation,nature_mutation,valeur_fonciere,code_commune,nom_commune,type_local,surface_reelle_bati,nombre_pieces_principales,nature_culture,surface_terrain
2027,2018-449288,2018-02-16,Vente,130000.0,34172,Montpellier,Maison,50.0,3.0,sols,285.0
2032,2018-449291,2018-02-19,Vente,311950.0,34172,Montpellier,Maison,176.0,5.0,sols,322.0
2047,2018-449300,2018-02-06,Vente,101700.0,34172,Montpellier,Maison,46.0,2.0,,
2059,2018-449308,2018-02-23,Vente,272500.0,34172,Montpellier,Maison,82.0,4.0,sols,398.0
2075,2018-449316,2018-01-15,Vente,1800000.0,34172,Montpellier,Maison,114.0,4.0,sols,1151.0
2153,2018-449356,2018-02-16,Vente,245000.0,34172,Montpellier,Maison,78.0,4.0,sols,148.0
2177,2018-449370,2018-02-08,Vente,1125000.0,34172,Montpellier,Maison,224.0,7.0,terrains d'agrément,2477.0
2178,2018-449370,2018-02-08,Vente,1125000.0,34172,Montpellier,Maison,224.0,7.0,sols,1000.0
2258,2018-449416,2018-02-16,Vente,227000.0,34172,Montpellier,Maison,64.0,3.0,,
2359,2018-449476,2018-02-14,Vente,200000.0,34172,Montpellier,Maison,53.0,3.0,sols,62.0
2424,2018-449513,2018-02-26,Vente,230000.0,34172,Montpellier,Maison,68.0,4.0,sols,281.0
2427,2018-449515,2018-02-27,Vente,185000.0,34172,Montpellier,Maison,77.0,4.0,sols,106.0
2477,2018-449537,2018-02-16,Vente,283000.0,34172,Montpellier,Maison,71.0,4.0,sols,154.0
2483,2018-449542,2018-02-14,Vente,389000.0,34172,Montpellier,Maison,112.0,3.0,,
2493,2018-449546,2018-02-27,Vente,274420.0,34172,Montpellier,Maison,80.0,5.0,sols,170.0
2516,2018-449558,2018-02-23,Vente,217000.0,34172,Montpellier,Maison,94.0,5.0,sols,210.0
2525,2018-449562,2018-02-22,Vente,207000.0,34172,Montpellier,Maison,50.0,2.0,sols,177.0
2574,2018-449591,2018-02-13,Vente,144000.0,34172,Montpellier,Maison,65.0,3.0,sols,56.0
2580,2018-449595,2018-03-09,Vente,188000.0,34172,Montpellier,Maison,60.0,3.0,,
2642,2018-449629,2018-03-08,Vente,150000.0,34172,Montpellier,Maison,88.0,5.0,,
2656,2018-449636,2018-02-19,Vente,215000.0,34172,Montpellier,Maison,98.0,4.0,sols,206.0
2673,2018-449645,2018-02-23,Vente,505000.0,34172,Montpellier,Maison,190.0,5.0,sols,595.0
2693,2018-449660,2018-02-16,Vente,275000.0,34172,Montpellier,Maison,92.0,5.0,,
2723,2018-449677,2018-02-19,Vente,299000.0,34172,Montpellier,Maison,45.0,3.0,sols,67.0
2730,2018-449683,2018-03-08,Vente,275000.0,34172,Montpellier,Maison,69.0,4.0,,
2751,2018-449695,2018-02-16,Vente,264000.0,34172,Montpellier,Maison,83.0,4.0,,
2782,2018-449717,2018-03-06,Vente,286500.0,34172,Montpellier,Maison,98.0,5.0,,
2852,2018-449762,2018-02-19,Vente,301000.0,34172,Montpellier,Maison,92.0,5.0,sols,432.0
2868,2018-449773,2018-02-19,Vente,235000.0,34172,Montpellier,Maison,105.0,4.0,sols,220.0
2872,2018-449776,2018-02-28,Vente,550000.0,34172,Montpellier,Maison,120.0,5.0,sols,129.0
2933,2018-449812,2018-02-09,Vente,248000.0,34172,Montpellier,Maison,67.0,3.0,sols,252.0
2979,2018-449838,2018-03-01,Vente,185900.0,34172,Montpellier,Maison,50.0,3.0,sols,277.0
2993,2018-449846,2018-02-20,Vente,200000.0,34172,Montpellier,Maison,60.0,3.0,sols,362.0
3013,2018-449857,2018-03-06,Vente,222500.0,34172,Montpellier,Maison,97.0,4.0,,
3046,2018-449874,2018-02-22,Vente,235000.0,34172,Montpellier,Maison,84.0,5.0,sols,331.0
3087,2018-449902,2018-03-15,Vente,400000.0,34172,Montpellier,Maison,113.0,5.0,sols,592.0
3097,2018-449910,2018-03-09,Vente,125000.0,34172,Montpellier,Maison,60.0,4.0,sols,107.0
3104,2018-449914,2018-02-23,Vente,166000.0,34172,Montpellier,Maison,52.0,3.0,sols,88.0
3106,2018-449916,2018-03-09,Vente,228000.0,34172,Montpellier,Maison,68.0,3.0,sols,233.0
3170,2018-449957,2018-03-16,Vente,75000.0,34172,Montpellier,Maison,110.0,5.0,sols,415.0
3184,2018-449963,2018-03-13,Vente,218500.0,34172,Montpellier,Maison,105.0,5.0,,
3194,2018-449971,2018-03-08,Vente,239000.0,34172,Montpellier,Maison,57.0,3.0,terrains a bâtir,329.0
3197,2018-449973,2018-03-12,Vente,162900.0,34172,Montpellier,Maison,65.0,3.0,,
3198,2018-449974,2018-03-05,Vente,269800.0,34172,Montpellier,Maison,81.0,4.0,sols,207.0
3221,2018-449987,2018-03-05,Vente,697000.0,34172,Montpellier,Maison,129.0,4.0,,
3251,2018-450004,2018-03-02,Vente,215000.0,34172,Montpellier,Maison,96.0,4.0,sols,493.0
3337,2018-450055,2018-03-02,Vente,307320.0,34172,Montpellier,Maison,92.0,3.0,sols,200.0
3372,2018-450077,2018-03-16,Vente,325000.0,34172,Montpellier,Maison,93.0,5.0,sols,295.0
3409,2018-450093,2018-03-19,Vente,255000.0,34172,Montpellier,Maison,144.0,7.0,sols,459.0
3423,2018-450101,2018-02-27,Vente,497000.0,34172,Montpellier,Maison,163.0,5.0,sols,1007.0
3426,2018-450103,2018-03-07,Vente,581550.0,34172,Montpellier,Maison,147.0,6.0,,
3473,2018-450129,2018-03-07,Vente,188500.0,34172,Montpellier,Maison,59.0,3.0,,
3519,2018-450155,2018-03-19,Vente,220500.0,34172,Montpellier,Maison,60.0,3.0,,
3687,2018-450258,2018-03-06,Vente,449900.0,34172,Montpellier,Maison,130.0,4.0,terrains a bâtir,248.0
3700,2018-450266,2018-03-12,Vente,850000.0,34172,Montpellier,Maison,200.0,9.0,sols,784.0
3737,2018-450290,2018-03-13,Vente,164286.0,34172,Montpellier,Maison,94.0,5.0,sols,110.0
3752,2018-450300,2018-03-12,Vente,280000.0,34172,Montpellier,Maison,80.0,5.0,sols,135.0
3763,2018-450307,2018-03-29,Vente,265000.0,34172,Montpellier,Maison,82.0,5.0,sols,391.0
3773,2018-450314,2018-03-21,Vente,403000.0,34172,Montpellier,Maison,140.0,5.0,sols,146.0
3809,2018-450339,2018-03-23,Vente,600000.0,34172,Montpellier,Maison,60.0,1.0,landes,651.0
3810,2018-450339,2018-03-23,Vente,600000.0,34172,Montpellier,Maison,60.0,1.0,jardins,528.0
3811,2018-450339,2018-03-23,Vente,600000.0,34172,Montpellier,Maison,60.0,1.0,sols,420.0
3812,2018-450340,2018-03-06,Vente,195000.0,34172,Montpellier,Maison,79.0,4.0,sols,322.0
3850,2018-450364,2018-03-12,Vente,446000.0,34172,Montpellier,Maison,135.0,6.0,sols,920.0
3882,2018-450384,2018-03-13,Vente,147000.0,34172,Montpellier,Maison,46.0,3.0,,
3952,2018-450411,2018-03-12,Vente,331400.0,34172,Montpellier,Maison,116.0,4.0,sols,512.0
4008,2018-450445,2018-03-29,Vente,165000.0,34172,Montpellier,Maison,63.0,3.0,,
4032,2018-450458,2018-03-19,Vente,460000.0,34172,Montpellier,Maison,150.0,5.0,sols,1000.0
4033,2018-450458,2018-03-19,Vente,460000.0,34172,Montpellier,Maison,150.0,5.0,terrains d'agrément,248.0
4072,2018-450478,2018-03-29,Vente,560000.0,34172,Montpellier,Maison,163.0,4.0,sols,598.0
4085,2018-450484,2018-03-30,Vente,255000.0,34172,Montpellier,Maison,180.0,7.0,sols,791.0
4162,2018-450529,2018-03-13,Vente,220000.0,34172,Montpellier,Maison,95.0,4.0,sols,337.0
4164,2018-450531,2018-03-19,Vente,150000.0,34172,Montpellier,Maison,75.0,4.0,sols,150.0
4170,2018-450535,2018-03-26,Vente,203000.0,34172,Montpellier,Maison,70.0,3.0,sols,136.0
4252,2018-450583,2018-03-19,Vente,309000.0,34172,Montpellier,Maison,67.0,4.0,sols,272.0
4288,2018-450602,2018-04-04,Vente,413050.0,34172,Montpellier,Maison,109.0,4.0,sols,123.0
4291,2018-450604,2018-04-05,Vente,355000.0,34172,Montpellier,Maison,62.0,3.0,sols,345.0
4304,2018-450612,2018-03-27,Vente,551700.0,34172,Montpellier,Maison,152.0,6.0,sols,391.0
4372,2018-450653,2018-03-26,Vente,635000.0,34172,Montpellier,Maison,89.0,5.0,sols,1455.0
4393,2018-450667,2018-03-30,Vente,187000.0,34172,Montpellier,Maison,80.0,4.0,sols,103.0
4411,2018-450679,2018-03-16,Vente,330000.0,34172,Montpellier,Maison,112.0,5.0,sols,527.0
4421,2018-450686,2018-03-26,Vente,995000.0,34172,Montpellier,Maison,168.0,6.0,sols,533.0
4468,2018-450714,2018-04-11,Vente,77670.0,34172,Montpellier,Maison,60.0,2.0,sols,380.0
4512,2018-450741,2018-03-01,Vente,270000.0,34172,Montpellier,Maison,98.0,4.0,sols,230.0
4659,2018-450823,2018-04-06,Vente,250000.0,34172,Montpellier,Maison,100.0,4.0,sols,243.0
4776,2018-450881,2018-03-21,Vente,420000.0,34172,Montpellier,Maison,93.0,4.0,sols,594.0
4777,2018-450881,2018-03-21,Vente,420000.0,34172,Montpellier,Maison,65.0,4.0,sols,594.0
4791,2018-450889,2018-04-20,Vente,333500.0,34172,Montpellier,Maison,134.0,6.0,sols,748.0
4794,2018-450891,2018-03-23,Vente,218000.0,34172,Montpellier,Maison,64.0,3.0,sols,66.0
4825,2018-450910,2018-04-11,Vente,121000.0,34172,Montpellier,Maison,60.0,2.0,sols,311.0
4826,2018-450911,2018-04-09,Vente,362000.0,34172,Montpellier,Maison,66.0,4.0,sols,480.0
4832,2018-450914,2018-04-13,Vente,178000.0,34172,Montpellier,Maison,65.0,3.0,,
4853,2018-450925,2018-03-26,Vente,73600.0,34172,Montpellier,Maison,111.0,6.0,,
